k=0.800,k=0.825,k=0.850,k=0.875,k=0.900,k=0.925,k=0.950,k=0.975,k=1.000,k=1.025,k=1.050,k=1.075,k=1.100,k=1.125,k=1.150,k=1.175,T,Price,Strike
0.346161,0.338494,0.330894,0.323359,0.315892,0.308493,0.301170,0.293931,0.286788,0.279756,0.272855,0.266111,0.259554,0.253218,0.247145,0.241377,1.270253,0.174099,1.099316
0.632138,0.628828,0.625731,0.622840,0.620149,0.617654,0.615347,0.613223,0.611276,0.609499,0.607885,0.606428,0.605121,0.603958,0.602931,0.602034,0.798106,0.280776,1.099902
0.640742,0.639377,0.638082,0.636853,0.635687,0.634580,0.633528,0.632529,0.631579,0.630677,0.629819,0.629004,0.628228,0.627491,0.626790,0.626124,1.998830,0.347981,0.999707
0.735608,0.735568,0.735530,0.735494,0.735460,0.735428,0.735398,0.735369,0.735342,0.735316,0.735292,0.735269,0.735247,0.735226,0.735206,0.735187,0.368540,0.170629,0.972363
0.682704,0.682546,0.682404,0.682278,0.682166,0.682068,0.681982,0.681908,0.681844,0.681790,0.681745,0.681710,0.681682,0.681662,0.681649,0.681642,1.476613,0.187113,0.789941
0.390894,0.390804,0.390724,0.390655,0.390595,0.390544,0.390501,0.390466,0.390438,0.390416,0.390400,0.390390,0.390386,0.390386,0.390391,0.390400,1.373667,0.400036,1.312988
0.595013,0.591857,0.588892,0.586113,0.583516,0.581095,0.578846,0.576763,0.574841,0.573074,0.571458,0.569985,0.568652,0.567451,0.566377,0.565424,0.602041,0.418978,1.363184
0.752459,0.749810,0.747344,0.745053,0.742931,0.740969,0.739162,0.737502,0.735984,0.734600,0.733345,0.732212,0.731195,0.730289,0.729487,0.728784,1.138295,0.174138,0.773926
0.711090,0.710489,0.709907,0.709342,0.708794,0.708261,0.707743,0.707239,0.706748,0.706269,0.705803,0.705347,0.704903,0.704469,0.704045,0.703630,1.627757,0.374833,1.035840
0.606138,0.603481,0.600938,0.598506,0.596181,0.593958,0.591835,0.589809,0.587874,0.586030,0.584272,0.582598,0.581005,0.579490,0.578050,0.576683,1.040965,0.394171,1.248926
0.211524,0.198528,0.184902,0.170469,0.154992,0.138165,0.119739,0.100124,0.086257,0.095704,0.112410,0.127958,0.141732,0.154008,0.165056,0.175098,0.175751,0.025356,1.016309
0.567991,0.565213,0.562503,0.559859,0.557277,0.554754,0.552287,0.549873,0.547510,0.545196,0.542928,0.540704,0.538523,0.536383,0.534282,0.532218,1.795278,0.120426,0.675098
0.765959,0.765587,0.765225,0.764874,0.764533,0.764200,0.763877,0.763561,0.763254,0.762954,0.762661,0.762375,0.762095,0.761822,0.761554,0.761292,1.467255,0.531209,1.244629
0.729652,0.729467,0.729290,0.729121,0.728959,0.728804,0.728655,0.728512,0.728375,0.728243,0.728116,0.727993,0.727875,0.727761,0.727652,0.727546,1.569733,0.321367,0.958887
0.820790,0.815499,0.810332,0.805283,0.800345,0.795515,0.790787,0.786158,0.781624,0.777182,0.772827,0.768558,0.764372,0.760265,0.756237,0.752284,0.770498,0.156752,0.791113
0.690457,0.685277,0.680215,0.675268,0.670431,0.665700,0.661072,0.656544,0.652114,0.647778,0.643534,0.639382,0.635319,0.631343,0.627455,0.623652,0.861277,0.368194,1.211816
0.619694,0.616114,0.612699,0.609447,0.606353,0.603413,0.600626,0.597988,0.595496,0.593146,0.590936,0.588862,0.586920,0.585107,0.583419,0.581851,0.465871,0.153844,0.983887
0.512290,0.511961,0.511642,0.511333,0.511032,0.510740,0.510455,0.510178,0.509908,0.509644,0.509387,0.509136,0.508891,0.508651,0.508416,0.508187,0.517812,0.101562,0.927441
0.706097,0.704266,0.702486,0.700754,0.699069,0.697427,0.695827,0.694265,0.692741,0.691253,0.689798,0.688376,0.686984,0.685622,0.684289,0.682983,1.744273,0.281473,0.884277
0.731739,0.731601,0.731467,0.731337,0.731210,0.731088,0.730968,0.730852,0.730739,0.730628,0.730521,0.730416,0.730313,0.730213,0.730115,0.730019,1.429352,0.487917,1.212793
0.610553,0.608830,0.607163,0.605548,0.603982,0.602464,0.600991,0.599560,0.598170,0.596819,0.595505,0.594227,0.592982,0.591770,0.590589,0.589438,0.712941,0.241204,1.055762
0.841247,0.839150,0.837169,0.835299,0.833534,0.831869,0.830298,0.828817,0.827421,0.826108,0.824871,0.823708,0.822616,0.821590,0.820627,0.819726,0.726044,0.105383,0.672363
0.830336,0.829142,0.828032,0.827001,0.826043,0.825154,0.824331,0.823569,0.822865,0.822215,0.821617,0.821068,0.820564,0.820103,0.819684,0.819303,0.638072,0.433651,1.261035
0.204836,0.204211,0.203607,0.203024,0.202461,0.201916,0.201389,0.200879,0.200385,0.199906,0.199441,0.198991,0.198555,0.198131,0.197719,0.197320,1.389577,0.018690,0.677441
0.458644,0.457193,0.455834,0.454563,0.453376,0.452269,0.451238,0.450280,0.449391,0.448568,0.447809,0.447109,0.446466,0.445877,0.445339,0.444850,1.417185,0.408460,1.307520
0.593161,0.590543,0.588006,0.585544,0.583156,0.580838,0.578586,0.576399,0.574274,0.572207,0.570198,0.568245,0.566344,0.564495,0.562696,0.560945,1.278676,0.206228,0.899316
0.445864,0.438702,0.431742,0.424992,0.418459,0.412154,0.406089,0.400275,0.394725,0.389453,0.384472,0.379795,0.375432,0.371393,0.367683,0.364307,1.559438,0.274088,1.133105
0.577040,0.575394,0.573987,0.572807,0.571843,0.571084,0.570516,0.570129,0.569912,0.569852,0.569938,0.570160,0.570507,0.570969,0.571536,0.572200,1.482697,0.377866,1.167480
0.575163,0.573496,0.571926,0.570449,0.569061,0.567756,0.566531,0.565383,0.564307,0.563301,0.562361,0.561483,0.560666,0.559906,0.559200,0.558546,0.810272,0.106585,0.795605
0.702208,0.701775,0.701359,0.700959,0.700573,0.700200,0.699841,0.699493,0.699158,0.698833,0.698518,0.698213,0.697917,0.697630,0.697352,0.697081,1.824290,0.628572,1.358301
0.524263,0.519317,0.514495,0.509793,0.505205,0.500726,0.496354,0.492084,0.487913,0.483837,0.479855,0.475964,0.472160,0.468443,0.464810,0.461260,1.728831,0.135632,0.760449
0.809140,0.800982,0.792920,0.784943,0.777044,0.769214,0.761443,0.753726,0.746054,0.738421,0.730818,0.723240,0.715680,0.708129,0.700581,0.693030,0.093394,0.339782,1.341504
0.590158,0.587847,0.585669,0.583619,0.581693,0.579885,0.578193,0.576611,0.575135,0.573761,0.572485,0.571303,0.570211,0.569205,0.568282,0.567437,0.803253,0.290351,1.131348
0.696586,0.695513,0.694532,0.693637,0.692822,0.692083,0.691415,0.690813,0.690273,0.689792,0.689365,0.688990,0.688663,0.688382,0.688143,0.687945,1.638051,0.476178,1.199512
0.739367,0.737571,0.735846,0.734188,0.732594,0.731061,0.729585,0.728163,0.726794,0.725474,0.724202,0.722975,0.721790,0.720647,0.719544,0.718479,1.272125,0.109536,0.631348
0.734453,0.730414,0.726513,0.722747,0.719111,0.715601,0.712213,0.708945,0.705792,0.702753,0.699825,0.697004,0.694288,0.691676,0.689163,0.686749,0.773305,0.167835,0.863184
0.874850,0.874079,0.873335,0.872616,0.871921,0.871248,0.870596,0.869965,0.869352,0.868757,0.868180,0.867619,0.867073,0.866542,0.866025,0.865522,0.879995,0.573331,1.361621
0.487187,0.486632,0.486159,0.485763,0.485439,0.485182,0.484988,0.484853,0.484772,0.484742,0.484760,0.484822,0.484924,0.485065,0.485240,0.485447,1.249196,0.165819,0.915918
0.487124,0.482305,0.477649,0.473153,0.468817,0.464639,0.460618,0.456754,0.453044,0.449489,0.446087,0.442838,0.439739,0.436790,0.433989,0.431334,1.660044,0.136741,0.807324
0.544202,0.544189,0.544178,0.544169,0.544160,0.544154,0.544148,0.544144,0.544140,0.544138,0.544137,0.544136,0.544137,0.544138,0.544140,0.544142,1.128469,0.246722,1.017090
0.570890,0.567683,0.564586,0.561594,0.558705,0.555913,0.553216,0.550611,0.548095,0.545664,0.543316,0.541049,0.538861,0.536748,0.534709,0.532741,1.742401,0.435600,1.228027
0.288987,0.288338,0.287709,0.287100,0.286509,0.285935,0.285378,0.284837,0.284310,0.283798,0.283299,0.282813,0.282340,0.281878,0.281428,0.280989,0.912750,0.226204,1.179785
0.730999,0.729093,0.727289,0.725583,0.723968,0.722441,0.720996,0.719629,0.718336,0.717114,0.715958,0.714866,0.713834,0.712860,0.711940,0.711072,1.321259,0.160747,0.730957
0.665240,0.662304,0.659452,0.656680,0.653984,0.651362,0.648809,0.646322,0.643900,0.641538,0.639236,0.636991,0.634800,0.632662,0.630575,0.628537,0.453705,0.259623,1.128809
