,predicted,target,err:
20349,0.052400,0.052228,0.000172
16563,0.187968,0.189259,0.001291
52064,0.351756,0.354223,0.002467
33961,0.323241,0.324944,0.001703
20162,0.108367,0.110695,0.002328
61081,0.070766,0.071554,0.000788
27036,0.363399,0.361753,0.001646
28056,0.037855,0.040061,0.002206
39471,0.328330,0.329135,0.000805
29587,0.088615,0.090366,0.001751
37923,0.291031,0.292419,0.001388
57143,0.197689,0.196155,0.001534
42740,0.194208,0.194101,0.000107
60114,0.206080,0.205165,0.000915
3790,0.083308,0.085595,0.002287
38916,0.298239,0.298105,0.000134
23541,0.186284,0.183844,0.002440
36819,0.409181,0.408559,0.000622
48042,0.469366,0.467305,0.002061
50324,0.034034,0.036471,0.002437
4471,0.042170,0.045840,0.003670
58398,0.012899,0.019035,0.006136
13020,0.411348,0.412723,0.001375
3973,0.283938,0.283893,0.000045
27950,0.544166,0.539793,0.004373
3356,0.159392,0.162939,0.003547
53777,0.559576,0.555337,0.004239
37727,0.064225,0.065793,0.001568
8662,0.190707,0.193844,0.003137
56343,0.265467,0.263126,0.002341
63429,0.267145,0.269442,0.002297
30986,0.145666,0.146641,0.000975
39524,0.352229,0.353062,0.000833
21486,0.093921,0.096696,0.002775
5548,0.100925,0.103099,0.002174
33259,0.194430,0.196176,0.001746
22803,0.243749,0.243173,0.000576
36143,0.464678,0.458933,0.005745
52114,0.298200,0.297542,0.000658
14424,0.344651,0.344867,0.000216
51765,0.253595,0.257706,0.004111
5431,0.214437,0.217248,0.002811
31937,0.318436,0.316195,0.002241
65132,0.225564,0.224252,0.001312
56290,0.208266,0.207702,0.000564
57915,0.387249,0.388428,0.001179
11568,0.089609,0.094061,0.004452
23156,0.203187,0.208486,0.005299
35914,0.464485,0.465555,0.001070
14720,0.137183,0.136557,0.000626
58070,0.251882,0.250528,0.001354
31858,0.156058,0.157130,0.001072
41655,0.120278,0.121068,0.000790
28567,0.326927,0.327622,0.000695
7477,0.034198,0.033458,0.000740
55381,0.117016,0.116474,0.000542
26733,0.146402,0.147421,0.001019
45299,0.364760,0.364271,0.000489
9002,0.207344,0.207450,0.000106
20196,0.113506,0.113018,0.000488
61274,0.249871,0.250366,0.000495
50277,0.212082,0.210911,0.001171
22988,0.294210,0.294286,0.000076
11892,0.448095,0.446931,0.001164
34585,0.526081,0.526774,0.000693
48859,0.000823,0.003437,0.002614
22013,0.395678,0.395037,0.000641
8092,0.201875,0.199540,0.002335
9356,0.001963,0.007113,0.005150
19836,0.186399,0.187713,0.001314
15045,0.404512,0.406455,0.001943
1647,-0.009694,0.000570,0.010264
40967,0.365018,0.365911,0.000893
56318,0.132390,0.132814,0.000424
56422,0.458650,0.456618,0.002032
53145,0.253745,0.250975,0.002770
66922,0.038311,0.040661,0.002350
57429,0.180993,0.181904,0.000911
54444,0.146051,0.146187,0.000136
37178,0.087075,0.087735,0.000660
22073,0.217144,0.217923,0.000779
2245,0.297631,0.296025,0.001606
66247,0.411440,0.408648,0.002792
62546,0.126712,0.127670,0.000958
13245,0.276711,0.277031,0.000320
17319,0.140164,0.140204,0.000040
39441,0.131830,0.133282,0.001452
17859,0.557954,0.554812,0.003142
55150,0.339496,0.338874,0.000622
31901,0.092929,0.095120,0.002191
36363,0.147772,0.146514,0.001258
7301,0.256173,0.257791,0.001618
66698,0.043988,0.046599,0.002611
56429,0.206609,0.207308,0.000699
9224,0.402979,0.401436,0.001543
47627,0.301221,0.303670,0.002449
6341,0.192412,0.191062,0.001350
41253,0.014554,0.020628,0.006074
54656,0.336608,0.336927,0.000319
22371,0.244770,0.245326,0.000556
13365,0.402535,0.400104,0.002431
22305,0.370854,0.370988,0.000134
5038,0.298896,0.299193,0.000297
24584,0.381586,0.381152,0.000434
3814,0.515456,0.514204,0.001252
12338,0.344770,0.347737,0.002967
25834,0.269553,0.269495,0.000058
2304,0.182705,0.185209,0.002504
34697,0.317676,0.316945,0.000731
7974,0.134982,0.135129,0.000147
1653,0.001874,0.004454,0.002580
41571,0.121549,0.124135,0.002586
51744,0.043081,0.044515,0.001434
35384,0.432709,0.435275,0.002566
1243,0.114106,0.117042,0.002936
35087,0.348636,0.347857,0.000779
18421,0.165430,0.167439,0.002009
55974,0.177102,0.177310,0.000208
38310,0.063373,0.067257,0.003884
27136,0.215133,0.215404,0.000271
5998,0.038793,0.039149,0.000356
59682,0.193885,0.193451,0.000434
64400,0.444599,0.446219,0.001620
52746,0.057209,0.058487,0.001278
11297,0.261217,0.262775,0.001558
49601,0.114834,0.116772,0.001938
21250,0.281800,0.279125,0.002675
38153,0.410959,0.408444,0.002515
26168,0.107580,0.110145,0.002565
5535,0.183935,0.183502,0.000433
55655,0.169566,0.170391,0.000825
58494,0.427224,0.426839,0.000385
63086,0.255288,0.255756,0.000468
55404,0.026598,0.029736,0.003138
13005,0.105555,0.107338,0.001783
42232,0.029045,0.033831,0.004786
25971,0.502747,0.501227,0.001520
62004,0.105219,0.104883,0.000336
15940,0.516799,0.515470,0.001329
52210,0.292021,0.291759,0.000262
53138,0.499230,0.498167,0.001063
61512,0.309235,0.307221,0.002014
56319,0.340730,0.341570,0.000840
43865,0.221366,0.222438,0.001072
49454,0.215034,0.213998,0.001036
25740,0.075399,0.077759,0.002360
40221,0.224840,0.222182,0.002658
