,predicted,target,err,delta
59428,0.341468,0.340934,0.000534,0.000534
34957,0.000174,0.001712,0.001538,-0.001538
4264,0.303584,0.303768,0.000184,-0.000184
53791,0.505460,0.503275,0.002185,0.002185
82114,0.141488,0.138778,0.002711,0.002711
97278,0.359581,0.358121,0.001460,0.001460
35602,0.254220,0.253520,0.000700,0.000700
38663,0.070537,0.066492,0.004045,0.004045
29243,0.241584,0.237532,0.004052,0.004052
65909,0.562508,0.561038,0.001470,0.001470
45107,0.561231,0.558336,0.002895,0.002895
68499,0.271087,0.270798,0.000290,0.000290
77672,0.398521,0.398324,0.000197,0.000197
95164,-0.001597,0.000007,0.001604,-0.001604
24412,0.083064,0.079935,0.003129,0.003129
57376,0.237791,0.236729,0.001061,0.001061
69567,0.325914,0.326024,0.000110,-0.000110
71361,0.486976,0.484964,0.002012,0.002012
64185,0.181521,0.179495,0.002026,0.002026
12761,0.124603,0.121288,0.003316,0.003316
483,0.324595,0.322847,0.001748,0.001748
4181,0.387850,0.385643,0.002207,0.002207
38350,0.101421,0.098509,0.002912,0.002912
39853,0.449087,0.447344,0.001743,0.001743
83463,0.211931,0.208901,0.003030,0.003030
93516,0.330082,0.328685,0.001397,0.001397
21382,0.483611,0.481621,0.001990,0.001990
96234,0.464297,0.462730,0.001568,0.001568
30644,0.378052,0.377920,0.000132,0.000132
58839,0.441462,0.439732,0.001730,0.001730
48269,0.326719,0.326029,0.000689,0.000689
6257,0.556135,0.554218,0.001916,0.001916
93561,0.195806,0.193251,0.002555,0.002555
91407,0.129557,0.128865,0.000693,0.000693
72815,0.474425,0.472995,0.001431,0.001431
47392,0.433463,0.432442,0.001021,0.001021
24032,0.595817,0.594836,0.000981,0.000981
92163,0.051559,0.049378,0.002181,0.002181
28166,0.093484,0.090285,0.003198,0.003198
46863,0.062678,0.058842,0.003835,0.003835
55725,0.456405,0.454257,0.002148,0.002148
46470,0.502075,0.501004,0.001071,0.001071
73280,0.335129,0.334675,0.000454,0.000454
18636,0.586743,0.584437,0.002306,0.002306
89008,0.019927,0.017006,0.002921,0.002921
64021,0.065735,0.062231,0.003504,0.003504
31133,0.010811,0.009074,0.001737,0.001737
82829,0.547675,0.544626,0.003049,0.003049
