,predicted,target,err,delta
75721,0.075601,0.071709,0.003892,0.003892
80184,0.213338,0.211295,0.002043,0.002043
19864,0.289481,0.286588,0.002893,0.002893
76699,0.017747,0.014981,0.002766,0.002766
92991,0.260011,0.259367,0.000644,0.000644
76434,0.101317,0.099105,0.002211,0.002211
84004,0.474402,0.472285,0.002118,0.002118
80917,0.514477,0.512273,0.002204,0.002204
60767,0.018505,0.017720,0.000784,0.000784
50074,0.330600,0.329398,0.001202,0.001202
27701,0.074481,0.071448,0.003034,0.003034
42141,0.226931,0.227052,0.000121,-0.000121
45080,0.524758,0.523812,0.000946,0.000946
16638,0.275861,0.275654,0.000207,0.000207
20424,0.007704,0.006497,0.001208,0.001208
88702,-0.001869,0.000000,0.001869,-0.001869
149,0.637763,0.635493,0.002270,0.002270
1761,0.021939,0.016743,0.005197,0.005197
63120,0.291286,0.290641,0.000645,0.000645
69161,0.344049,0.343741,0.000307,0.000307
64883,0.336719,0.337111,0.000392,-0.000392
2495,0.377446,0.375760,0.001686,0.001686
80296,0.197131,0.198068,0.000937,-0.000937
19447,0.477774,0.475133,0.002641,0.002641
41331,0.320159,0.319902,0.000257,0.000257
14888,0.422306,0.421996,0.000310,0.000310
88636,0.169496,0.167630,0.001865,0.001865
94892,0.441710,0.439473,0.002237,0.002237
92731,0.167079,0.166048,0.001031,0.001031
29130,0.568658,0.566270,0.002388,0.002388
79022,0.526313,0.523229,0.003084,0.003084
84936,0.254538,0.253906,0.000632,0.000632
16821,0.315147,0.313793,0.001354,0.001354
36733,0.285953,0.284011,0.001942,0.001942
15602,0.073590,0.071535,0.002055,0.002055
28533,0.069351,0.067149,0.002202,0.002202
69769,0.400225,0.399485,0.000739,0.000739
11405,0.426433,0.425021,0.001412,0.001412
96852,0.238260,0.238793,0.000533,-0.000533
16130,0.506596,0.505757,0.000839,0.000839
19792,0.327838,0.327796,0.000042,0.000042
89577,0.362754,0.361319,0.001434,0.001434
40163,0.471093,0.469959,0.001134,0.001134
31776,0.170646,0.171303,0.000657,-0.000657
25330,0.070686,0.066828,0.003858,0.003858
79156,0.060075,0.057217,0.002858,0.002858
51685,0.438966,0.437557,0.001409,0.001409
75498,0.290347,0.288419,0.001929,0.001929
4727,0.441535,0.440002,0.001532,0.001532
85198,0.535492,0.533783,0.001709,0.001709
35795,0.423889,0.422622,0.001267,0.001267
12256,0.361361,0.360418,0.000943,0.000943
35718,0.296252,0.293116,0.003136,0.003136
70551,0.553611,0.552304,0.001308,0.001308
54374,0.230331,0.228050,0.002281,0.002281
39691,0.321177,0.319924,0.001254,0.001254
93702,0.388708,0.387692,0.001016,0.001016
73691,0.173529,0.172736,0.000793,0.000793
98070,0.316934,0.315646,0.001288,0.001288
575,0.183731,0.181745,0.001985,0.001985
84610,0.211822,0.210724,0.001098,0.001098
61769,0.027314,0.025135,0.002178,0.002178
32260,0.037035,0.034660,0.002375,0.002375
82199,0.143651,0.141445,0.002205,0.002205
36290,0.257244,0.257650,0.000406,-0.000406
78449,0.289298,0.287502,0.001796,0.001796
60055,0.447573,0.445522,0.002051,0.002051
45948,0.082425,0.079166,0.003259,0.003259
28177,0.426134,0.424722,0.001412,0.001412
84463,0.307172,0.304450,0.002722,0.002722
578,0.251166,0.249776,0.001391,0.001391
30959,0.012878,0.011046,0.001832,0.001832
64290,0.323504,0.323991,0.000487,-0.000487
14531,0.290956,0.289737,0.001220,0.001220
17933,0.374779,0.372960,0.001819,0.001819
33608,0.026289,0.024132,0.002157,0.002157
49959,0.325838,0.325589,0.000249,0.000249
66598,0.329950,0.330597,0.000647,-0.000647
99089,0.170471,0.169511,0.000960,0.000960
