,predicted,target,err:
55939,0.313852,0.312956,0.000896
40369,0.380720,0.378597,0.002123
21533,0.077747,0.079795,0.002048
37592,0.433773,0.435725,0.001952
38245,0.149681,0.150463,0.000782
55060,0.177049,0.177065,0.000016
54507,0.096362,0.099778,0.003416
40939,0.294479,0.295042,0.000563
42898,0.059688,0.061253,0.001565
27878,0.182994,0.181677,0.001317
64126,0.245334,0.244921,0.000413
60667,0.017633,0.020506,0.002873
28166,0.300580,0.299884,0.000696
42529,0.111209,0.109139,0.002070
4884,0.093670,0.096707,0.003037
32727,-0.009755,0.000029,0.009784
44969,0.256870,0.256759,0.000111
52566,0.154778,0.156288,0.001510
431,0.544024,0.543190,0.000834
45368,0.017251,0.020684,0.003433
53074,0.569078,0.569843,0.000765
31853,0.065395,0.066728,0.001333
53951,0.111012,0.111516,0.000504
29132,0.469107,0.468130,0.000977
53532,0.204362,0.202446,0.001916
32871,0.181833,0.180511,0.001322
39742,0.132353,0.132546,0.000193
21768,-0.005076,0.000426,0.005502
21417,0.332554,0.334143,0.001589
33345,0.286524,0.287735,0.001211
19386,0.503694,0.498836,0.004858
38168,0.291578,0.290422,0.001156
62379,0.047303,0.053349,0.006046
43772,0.528090,0.529203,0.001113
4788,0.283255,0.283448,0.000193
2287,0.329623,0.329212,0.000411
41105,0.122990,0.120289,0.002701
17362,0.075635,0.077117,0.001482
33235,0.152324,0.152178,0.000146
31430,0.068300,0.069796,0.001496
62934,0.189784,0.188920,0.000864
16759,0.136619,0.137026,0.000407
26522,0.236823,0.237055,0.000232
26121,0.340277,0.338103,0.002174
55210,0.156541,0.157546,0.001005
62566,0.142438,0.148591,0.006153
43992,0.164565,0.164632,0.000067
48131,0.302673,0.302003,0.000670
16000,0.643831,0.643565,0.000266
32381,0.219667,0.218947,0.000720
53925,0.444527,0.441491,0.003036
43070,0.217535,0.221215,0.003680
3660,0.295870,0.294987,0.000883
31201,0.257785,0.259993,0.002208
27628,0.462344,0.460393,0.001951
11069,0.472016,0.471275,0.000741
60195,0.014594,0.018638,0.004044
56959,0.040434,0.045544,0.005110
13889,0.273596,0.272675,0.000921
43782,0.202662,0.202078,0.000584
48675,0.211511,0.210422,0.001089
11546,0.156636,0.157946,0.001310
37963,0.543351,0.541929,0.001422
2549,0.371006,0.372322,0.001316
56865,0.296866,0.301473,0.004607
15697,0.345222,0.344999,0.000223
10852,0.439420,0.441359,0.001939
46331,0.099687,0.103106,0.003419
13787,0.007661,0.011558,0.003897
22506,0.221443,0.225801,0.004358
15279,0.327972,0.329723,0.001751
48252,0.492384,0.496110,0.003726
13420,0.232020,0.232464,0.000444
14090,0.542008,0.541189,0.000819
30038,0.185889,0.183801,0.002088
57186,0.226704,0.225182,0.001522
32033,0.161902,0.163469,0.001567
52955,0.522994,0.521830,0.001164
41652,0.292183,0.293440,0.001257
63797,0.364537,0.360606,0.003931
42194,0.155716,0.157314,0.001598
47660,0.266596,0.266520,0.000076
50170,0.182850,0.184229,0.001379
60165,0.495806,0.494315,0.001491
10153,0.346600,0.347324,0.000724
8880,0.120477,0.124383,0.003906
6990,0.081041,0.085263,0.004222
47017,0.469143,0.467890,0.001253
64201,0.125869,0.127370,0.001501
273,0.238750,0.240036,0.001286
18194,0.087084,0.086173,0.000911
44530,0.183017,0.186728,0.003711
3601,0.400707,0.400585,0.000122
63395,0.069005,0.070022,0.001017
3510,0.453996,0.451253,0.002743
33341,0.003531,0.007146,0.003615
65837,0.121830,0.123050,0.001220
1791,0.197455,0.195789,0.001666
39773,0.081589,0.081246,0.000343
21504,0.143855,0.146043,0.002188
34327,0.576240,0.575387,0.000853
23865,0.018727,0.021999,0.003272
43190,0.276141,0.277328,0.001187
37675,0.071741,0.075341,0.003600
48881,0.219600,0.219439,0.000161
158,0.343697,0.338627,0.005070
38715,0.568385,0.568231,0.000154
5223,0.622117,0.619907,0.002210
59772,0.134140,0.134551,0.000411
11615,0.278151,0.276125,0.002026
58568,0.130624,0.131339,0.000715
19848,0.390918,0.392791,0.001873
40793,0.015529,0.019381,0.003852
60949,0.187573,0.185973,0.001600
33720,0.048469,0.052809,0.004340
50645,0.192063,0.194807,0.002744
29010,0.095258,0.093353,0.001905
51002,0.281937,0.281147,0.000790
25636,0.483606,0.482405,0.001201
37501,0.131070,0.132039,0.000969
47030,0.235263,0.235350,0.000087
48419,0.158361,0.161930,0.003569
3940,0.219275,0.217811,0.001464
10218,0.431395,0.429664,0.001731
30456,0.177357,0.179134,0.001777
28286,0.103304,0.106128,0.002824
17389,0.296760,0.296889,0.000129
27805,0.188917,0.189762,0.000845
6013,0.141587,0.142960,0.001373
19235,0.505152,0.504384,0.000768
65548,0.267873,0.265560,0.002313
59645,0.347696,0.347539,0.000157
1824,0.089801,0.092705,0.002904
50368,0.273150,0.271225,0.001925
13958,0.202499,0.204114,0.001615
48229,0.084591,0.083682,0.000909
34011,0.271911,0.271578,0.000333
39737,0.069734,0.072646,0.002912
52971,0.484686,0.483049,0.001637
42342,0.315418,0.314110,0.001308
62587,0.026929,0.031577,0.004648
